run_id,pool_id,parent_pool_id,pool_seed,training_seed,student_id,weight_identity,protocol_id,U,D_U_pool,D_U_seen,T_actual,processed_tokens,optimizer_steps,T_domain_if_available,capability,distribution,initial_loss,loss,delta,checkpoint_id,source_path
gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51,sha256:2063aecd14719141ac6f7836e73e56901f2f5237d469fa5a7c81040055bc4ab6,,51,0,gemma3-1b,"{""adapter_sha256"":null,""base_model"":""google/gemma-3-1b-pt"",""base_revision"":null,""base_revision_source"":null,""checkpoint_ref"":""results/v12-distill/gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51/trajectory/update-00000000"",""state"":""base""}",core:2a83fffce0504a1c2000,132,34503,0,0,0,0,,code,training_probe:MBPP:d5f45bdd0f442e0e,1.060091895482728,1.060091895482728,0.0,update-00000000,results/v12-distill/gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51/trajectory/update-00000000/eval.json
gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51,sha256:2063aecd14719141ac6f7836e73e56901f2f5237d469fa5a7c81040055bc4ab6,,51,0,gemma3-1b,"{""adapter_sha256"":null,""base_model"":""google/gemma-3-1b-pt"",""base_revision"":null,""base_revision_source"":null,""checkpoint_ref"":""results/v12-distill/gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51/trajectory/update-00000000"",""state"":""base""}",core:2a83fffce0504a1c2000,132,34503,0,0,0,0,,math,training_probe:MATH-500:c76472bee07727fe,1.2205068949840885,1.2205068949840885,0.0,update-00000000,results/v12-distill/gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51/trajectory/update-00000000/eval.json
gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51,sha256:2063aecd14719141ac6f7836e73e56901f2f5237d469fa5a7c81040055bc4ab6,,51,0,gemma3-1b,"{""adapter_sha256"":null,""base_model"":""google/gemma-3-1b-pt"",""base_revision"":""fcf18a2a879aab110ca39f8bffbccd5d49d8eb29"",""base_revision_source"":""model_revision"",""checkpoint_ref"":""results/v12-distill/gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51/trajectory/update-00000000"",""state"":""base""}",core:2a83fffce0504a1c2000,132,34503,0,0,0,0,,qa,2wiki_new:bbd036c56ac37bd3,5.792321790099269,5.792321790099269,0.0,update-00000000,results/v99-scope/gpt-5.6-luna_full_132_critical_lora_dseed51-0a7117757aa76562/update-00000000.json
gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51,sha256:2063aecd14719141ac6f7836e73e56901f2f5237d469fa5a7c81040055bc4ab6,,51,0,gemma3-1b,"{""adapter_sha256"":null,""base_model"":""google/gemma-3-1b-pt"",""base_revision"":""fcf18a2a879aab110ca39f8bffbccd5d49d8eb29"",""base_revision_source"":""model_revision"",""checkpoint_ref"":""results/v12-distill/gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51/trajectory/update-00000000"",""state"":""base""}",core:2a83fffce0504a1c2000,132,34503,0,0,0,0,,qa,musique:0c676ed3b3c2a52d,1.9168584673236515,1.9168584673236515,0.0,update-00000000,results/v99-scope/gpt-5.6-luna_full_132_critical_lora_dseed51-0a7117757aa76562/update-00000000.json
gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51,sha256:2063aecd14719141ac6f7836e73e56901f2f5237d469fa5a7c81040055bc4ab6,,51,0,gemma3-1b,"{""adapter_sha256"":null,""base_model"":""google/gemma-3-1b-pt"",""base_revision"":null,""base_revision_source"":null,""checkpoint_ref"":""results/v12-distill/gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51/trajectory/update-00000000"",""state"":""base""}",core:2a83fffce0504a1c2000,132,34503,0,0,0,0,,qa,training_probe:2WikiMultihopQA:35e3fde33c8b6e91,5.567791334661354,5.567791334661354,0.0,update-00000000,results/v12-distill/gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51/trajectory/update-00000000/eval.json
gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51,sha256:2063aecd14719141ac6f7836e73e56901f2f5237d469fa5a7c81040055bc4ab6,,51,0,gemma3-1b,"{""adapter_sha256"":null,""base_model"":""google/gemma-3-1b-pt"",""base_revision"":""fcf18a2a879aab110ca39f8bffbccd5d49d8eb29"",""base_revision_source"":""model_revision"",""checkpoint_ref"":""results/v12-distill/gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51/trajectory/update-00000000"",""state"":""base""}",core:2a83fffce0504a1c2000,132,34503,0,0,0,0,,qa,triviaqa:25268a1f786058ff,2.714237953299907,2.714237953299907,0.0,update-00000000,results/v99-scope/gpt-5.6-luna_full_132_critical_lora_dseed51-0a7117757aa76562/update-00000000.json
gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51,sha256:2063aecd14719141ac6f7836e73e56901f2f5237d469fa5a7c81040055bc4ab6,,51,0,gemma3-1b,"{""adapter_sha256"":null,""base_model"":""google/gemma-3-1b-pt"",""base_revision"":null,""base_revision_source"":null,""checkpoint_ref"":""results/v12-distill/gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51/trajectory/update-00000019"",""state"":""trained""}",core:2a83fffce0504a1c2000,132,34503,25541,25541,91890,19,,code,training_probe:MBPP:d5f45bdd0f442e0e,1.060091895482728,1.0910097431355181,0.030917847652790043,update-00000019,results/v12-distill/gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51/trajectory/update-00000019/eval.json
gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51,sha256:2063aecd14719141ac6f7836e73e56901f2f5237d469fa5a7c81040055bc4ab6,,51,0,gemma3-1b,"{""adapter_sha256"":null,""base_model"":""google/gemma-3-1b-pt"",""base_revision"":null,""base_revision_source"":null,""checkpoint_ref"":""results/v12-distill/gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51/trajectory/update-00000019"",""state"":""trained""}",core:2a83fffce0504a1c2000,132,34503,25541,25541,91890,19,,math,training_probe:MATH-500:c76472bee07727fe,1.2205068949840885,1.2794173359599939,0.058910440975905365,update-00000019,results/v12-distill/gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51/trajectory/update-00000019/eval.json
gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51,sha256:2063aecd14719141ac6f7836e73e56901f2f5237d469fa5a7c81040055bc4ab6,,51,0,gemma3-1b,"{""adapter_sha256"":null,""base_model"":""google/gemma-3-1b-pt"",""base_revision"":null,""base_revision_source"":null,""checkpoint_ref"":""results/v12-distill/gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51/trajectory/update-00000019"",""state"":""trained""}",core:2a83fffce0504a1c2000,132,34503,25541,25541,91890,19,,qa,training_probe:2WikiMultihopQA:35e3fde33c8b6e91,5.567791334661354,4.133466135458168,-1.4343251992031867,update-00000019,results/v12-distill/gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51/trajectory/update-00000019/eval.json
gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51,sha256:2063aecd14719141ac6f7836e73e56901f2f5237d469fa5a7c81040055bc4ab6,,51,0,gemma3-1b,"{""adapter_sha256"":null,""base_model"":""google/gemma-3-1b-pt"",""base_revision"":null,""base_revision_source"":null,""checkpoint_ref"":""results/v12-distill/gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51/trajectory/update-00000029"",""state"":""trained""}",core:2a83fffce0504a1c2000,132,34503,34503,40419,136961,29,,code,training_probe:MBPP:d5f45bdd0f442e0e,1.060091895482728,1.1514337909654562,0.09134189548272809,update-00000029,results/v12-distill/gemma3-1b/gpt-5.6-luna_full_132_critical_lora_dseed51/trajectory/update-00000029/eval.json
