file,source,stored_bytes,original_bytes,original_sha256,published_sha256,anonymized
data_mirror/published-tables/s3_selection.tex,paper/paper/tables/s3_selection.tex,1836,1836,8c4c6f3922e249778a9d5a0d7050b57e0977599db4391ccb12943d561e8360df,8c4c6f3922e249778a9d5a0d7050b57e0977599db4391ccb12943d561e8360df,False
data_mirror/s3-selection-validation/SHA256SUMS,results/s3-selection-validation/SHA256SUMS,29782,29782,3032b727c0019d3a2895ca1b9eec5c76412a361b51888e0b29128e33055bc092,3032b727c0019d3a2895ca1b9eec5c76412a361b51888e0b29128e33055bc092,False
data_mirror/s3-selection-validation/SHA256SUMS_v2,results/s3-selection-validation/SHA256SUMS_v2,8753,8753,189fb8b280cf9bb9e5c1452d5ed4d50d6b552d0dd9fa5e91299413aa33e60e98,189fb8b280cf9bb9e5c1452d5ed4d50d6b552d0dd9fa5e91299413aa33e60e98,False
data_mirror/s3-selection-validation/anchors/gemma3-1b__reference.json,results/s3-selection-validation/anchors/gemma3-1b__reference.json,1042,1042,cf5561a55464cfe7cc6aa12d318fe4588d3779b15b83135b66056c42cb4e0374,cf5561a55464cfe7cc6aa12d318fe4588d3779b15b83135b66056c42cb4e0374,False
data_mirror/s3-selection-validation/anchors/gemma3-1b__reference.json.sha256,results/s3-selection-validation/anchors/gemma3-1b__reference.json.sha256,65,65,add7295daadf8a099ca2934429846f3bd1cad00b35f1467ea8449ab2d5eb592b,add7295daadf8a099ca2934429846f3bd1cad00b35f1467ea8449ab2d5eb592b,False
data_mirror/s3-selection-validation/anchors/gemma3-1b__student.json,results/s3-selection-validation/anchors/gemma3-1b__student.json,1038,1038,97883948a6dcec80d7f10be843f5b1db51f8713c75e2704c3044434e48cd41a2,97883948a6dcec80d7f10be843f5b1db51f8713c75e2704c3044434e48cd41a2,False
data_mirror/s3-selection-validation/anchors/gemma3-1b__student.json.sha256,results/s3-selection-validation/anchors/gemma3-1b__student.json.sha256,65,65,c62274974068dc6ace3fd64cb6faad45c811392b3ec1cfd9f7555f2bf30a7f8b,c62274974068dc6ace3fd64cb6faad45c811392b3ec1cfd9f7555f2bf30a7f8b,False
data_mirror/s3-selection-validation/anchors/gemma3-4b__reference.json,results/s3-selection-validation/anchors/gemma3-4b__reference.json,1041,1041,941d145cc79e84b7097d54bbb8c3b9ac6ee2e3155574623278f8e25beb9102dc,941d145cc79e84b7097d54bbb8c3b9ac6ee2e3155574623278f8e25beb9102dc,False
data_mirror/s3-selection-validation/anchors/gemma3-4b__reference.json.sha256,results/s3-selection-validation/anchors/gemma3-4b__reference.json.sha256,65,65,ed075a0be152b93b4dca65bb7dc25b07d2cfb000c566925e903420831a367d3f,ed075a0be152b93b4dca65bb7dc25b07d2cfb000c566925e903420831a367d3f,False
data_mirror/s3-selection-validation/anchors/gemma3-4b__student.json,results/s3-selection-validation/anchors/gemma3-4b__student.json,1040,1040,022ea8fb7da081553aa5dd3fcefc0670e1f36193648de4e6b36471046c18abca,022ea8fb7da081553aa5dd3fcefc0670e1f36193648de4e6b36471046c18abca,False
