kind,group,method,coverage,conditional,common_reliability,solved,common_request_ids
boundary,QA distributions,boundary_loglinear,"{""numerator"": 54, ""denominator"": 72, ""fraction"": 0.75}","{""numerator"": 30, ""denominator"": 54, ""fraction"": 0.5555555555555556}","{""numerator"": 30, ""denominator"": 42, ""fraction"": 0.7142857142857143}","{""numerator"": 30, ""denominator"": 72, ""fraction"": 0.4166666666666667}","[""gemma3-1b|100000|qa:2Wiki-fresh|0.0"", ""gemma3-1b|100000|qa:2Wiki-fresh|0.1"", ""gemma3-1b|100000|qa:2Wiki-fresh|0.25"", ""gemma3-1b|100000|qa:2Wiki-fresh|0.5"", ""gemma3-1b|100000|qa:MuSiQue|0.5"", ""gemma3-1b|100000|qa:TriviaQA|0.5"", ""gemma3-1b|200000|qa:2Wiki-fresh|0.0"", ""gemma3-1b|200000|qa:2Wiki-fresh|0.1"", ""gemma3-1b|200000|qa:2Wiki-fresh|0.25"", ""gemma3-1b|200000|qa:2Wiki-fresh|0.5"", ""gemma3-1b|200000|qa:MuSiQue|0.5"", ""gemma3-1b|200000|qa:TriviaQA|0.5"", ""gemma3-1b|50000|qa:2Wiki-fresh|0.0"", ""gemma3-1b|50000|qa:2Wiki-fresh|0.1"", ""gemma3-1b|50000|qa:2Wiki-fresh|0.25"", ""gemma3-1b|50000|qa:2Wiki-fresh|0.5"", ""gemma3-1b|50000|qa:MuSiQue|0.0"", ""gemma3-1b|50000|qa:MuSiQue|0.1"", ""gemma3-1b|50000|qa:MuSiQue|0.25"", ""gemma3-1b|50000|qa:MuSiQue|0.5"", ""gemma3-1b|50000|qa:TriviaQA|0.25"", ""gemma3-1b|50000|qa:TriviaQA|0.5"", ""gemma3-4b|100000|qa:2Wiki-fresh|0.0"", ""gemma3-4b|100000|qa:2Wiki-fresh|0.1"", ""gemma3-4b|100000|qa:2Wiki-fresh|0.25"", ""gemma3-4b|100000|qa:2Wiki-fresh|0.5"", ""gemma3-4b|100000|qa:MuSiQue|0.25"", ""gemma3-4b|100000|qa:MuSiQue|0.5"", ""gemma3-4b|200000|qa:2Wiki-fresh|0.0"", ""gemma3-4b|200000|qa:2Wiki-fresh|0.1"", ""gemma3-4b|200000|qa:2Wiki-fresh|0.25"", ""gemma3-4b|200000|qa:2Wiki-fresh|0.5"", ""gemma3-4b|200000|qa:MuSiQue|0.5"", ""gemma3-4b|200000|qa:TriviaQA|0.5"", ""gemma3-4b|50000|qa:2Wiki-fresh|0.0"", ""gemma3-4b|50000|qa:2Wiki-fresh|0.1"", ""gemma3-4b|50000|qa:2Wiki-fresh|0.25"", ""gemma3-4b|50000|qa:2Wiki-fresh|0.5"", ""gemma3-4b|50000|qa:MuSiQue|0.0"", ""gemma3-4b|50000|qa:MuSiQue|0.1"", ""gemma3-4b|50000|qa:MuSiQue|0.25"", ""gemma3-4b|50000|qa:MuSiQue|0.5""]"
boundary,QA distributions,fixed_reuse,"{""numerator"": 57, ""denominator"": 72, ""fraction"": 0.7916666666666666}","{""numerator"": 25, ""denominator"": 57, ""fraction"": 0.43859649122807015}","{""numerator"": 25, ""denominator"": 42, ""fraction"": 0.5952380952380952}","{""numerator"": 25, ""denominator"": 72, ""fraction"": 0.3472222222222222}","[""gemma3-1b|100000|qa:2Wiki-fresh|0.0"", ""gemma3-1b|100000|qa:2Wiki-fresh|0.1"", ""gemma3-1b|100000|qa:2Wiki-fresh|0.25"", ""gemma3-1b|100000|qa:2Wiki-fresh|0.5"", ""gemma3-1b|100000|qa:MuSiQue|0.5"", ""gemma3-1b|100000|qa:TriviaQA|0.5"", ""gemma3-1b|200000|qa:2Wiki-fresh|0.0"", ""gemma3-1b|200000|qa:2Wiki-fresh|0.1"", ""gemma3-1b|200000|qa:2Wiki-fresh|0.25"", ""gemma3-1b|200000|qa:2Wiki-fresh|0.5"", ""gemma3-1b|200000|qa:MuSiQue|0.5"", ""gemma3-1b|200000|qa:TriviaQA|0.5"", ""gemma3-1b|50000|qa:2Wiki-fresh|0.0"", ""gemma3-1b|50000|qa:2Wiki-fresh|0.1"", ""gemma3-1b|50000|qa:2Wiki-fresh|0.25"", ""gemma3-1b|50000|qa:2Wiki-fresh|0.5"", ""gemma3-1b|50000|qa:MuSiQue|0.0"", ""gemma3-1b|50000|qa:MuSiQue|0.1"", ""gemma3-1b|50000|qa:MuSiQue|0.25"", ""gemma3-1b|50000|qa:MuSiQue|0.5"", ""gemma3-1b|50000|qa:TriviaQA|0.25"", ""gemma3-1b|50000|qa:TriviaQA|0.5"", ""gemma3-4b|100000|qa:2Wiki-fresh|0.0"", ""gemma3-4b|100000|qa:2Wiki-fresh|0.1"", ""gemma3-4b|100000|qa:2Wiki-fresh|0.25"", ""gemma3-4b|100000|qa:2Wiki-fresh|0.5"", ""gemma3-4b|100000|qa:MuSiQue|0.25"", ""gemma3-4b|100000|qa:MuSiQue|0.5"", ""gemma3-4b|200000|qa:2Wiki-fresh|0.0"", ""gemma3-4b|200000|qa:2Wiki-fresh|0.1"", ""gemma3-4b|200000|qa:2Wiki-fresh|0.25"", ""gemma3-4b|200000|qa:2Wiki-fresh|0.5"", ""gemma3-4b|200000|qa:MuSiQue|0.5"", ""gemma3-4b|200000|qa:TriviaQA|0.5"", ""gemma3-4b|50000|qa:2Wiki-fresh|0.0"", ""gemma3-4b|50000|qa:2Wiki-fresh|0.1"", ""gemma3-4b|50000|qa:2Wiki-fresh|0.25"", ""gemma3-4b|50000|qa:2Wiki-fresh|0.5"", ""gemma3-4b|50000|qa:MuSiQue|0.0"", ""gemma3-4b|50000|qa:MuSiQue|0.1"", ""gemma3-4b|50000|qa:MuSiQue|0.25"", ""gemma3-4b|50000|qa:MuSiQue|0.5""]"
boundary,QA distributions,student_isotonic,"{""numerator"": 42, ""denominator"": 72, ""fraction"": 0.5833333333333334}","{""numerator"": 33, ""denominator"": 42, ""fraction"": 0.7857142857142857}","{""numerator"": 33, ""denominator"": 42, ""fraction"": 0.7857142857142857}","{""numerator"": 33, ""denominator"": 72, ""fraction"": 0.4583333333333333}","[""gemma3-1b|100000|qa:2Wiki-fresh|0.0"", ""gemma3-1b|100000|qa:2Wiki-fresh|0.1"", ""gemma3-1b|100000|qa:2Wiki-fresh|0.25"", ""gemma3-1b|100000|qa:2Wiki-fresh|0.5"", ""gemma3-1b|100000|qa:MuSiQue|0.5"", ""gemma3-1b|100000|qa:TriviaQA|0.5"", ""gemma3-1b|200000|qa:2Wiki-fresh|0.0"", ""gemma3-1b|200000|qa:2Wiki-fresh|0.1"", ""gemma3-1b|200000|qa:2Wiki-fresh|0.25"", ""gemma3-1b|200000|qa:2Wiki-fresh|0.5"", ""gemma3-1b|200000|qa:MuSiQue|0.5"", ""gemma3-1b|200000|qa:TriviaQA|0.5"", ""gemma3-1b|50000|qa:2Wiki-fresh|0.0"", ""gemma3-1b|50000|qa:2Wiki-fresh|0.1"", ""gemma3-1b|50000|qa:2Wiki-fresh|0.25"", ""gemma3-1b|50000|qa:2Wiki-fresh|0.5"", ""gemma3-1b|50000|qa:MuSiQue|0.0"", ""gemma3-1b|50000|qa:MuSiQue|0.1"", ""gemma3-1b|50000|qa:MuSiQue|0.25"", ""gemma3-1b|50000|qa:MuSiQue|0.5"", ""gemma3-1b|50000|qa:TriviaQA|0.25"", ""gemma3-1b|50000|qa:TriviaQA|0.5"", ""gemma3-4b|100000|qa:2Wiki-fresh|0.0"", ""gemma3-4b|100000|qa:2Wiki-fresh|0.1"", ""gemma3-4b|100000|qa:2Wiki-fresh|0.25"", ""gemma3-4b|100000|qa:2Wiki-fresh|0.5"", ""gemma3-4b|100000|qa:MuSiQue|0.25"", ""gemma3-4b|100000|qa:MuSiQue|0.5"", ""gemma3-4b|200000|qa:2Wiki-fresh|0.0"", ""gemma3-4b|200000|qa:2Wiki-fresh|0.1"", ""gemma3-4b|200000|qa:2Wiki-fresh|0.25"", ""gemma3-4b|200000|qa:2Wiki-fresh|0.5"", ""gemma3-4b|200000|qa:MuSiQue|0.5"", ""gemma3-4b|200000|qa:TriviaQA|0.5"", ""gemma3-4b|50000|qa:2Wiki-fresh|0.0"", ""gemma3-4b|50000|qa:2Wiki-fresh|0.1"", ""gemma3-4b|50000|qa:2Wiki-fresh|0.25"", ""gemma3-4b|50000|qa:2Wiki-fresh|0.5"", ""gemma3-4b|50000|qa:MuSiQue|0.0"", ""gemma3-4b|50000|qa:MuSiQue|0.1"", ""gemma3-4b|50000|qa:MuSiQue|0.25"", ""gemma3-4b|50000|qa:MuSiQue|0.5""]"
boundary,math/code,boundary_loglinear,"{""numerator"": 17, ""denominator"": 48, ""fraction"": 0.3541666666666667}","{""numerator"": 11, ""denominator"": 17, ""fraction"": 0.6470588235294118}","{""numerator"": 10, ""denominator"": 14, ""fraction"": 0.7142857142857143}","{""numerator"": 11, ""denominator"": 48, ""fraction"": 0.22916666666666666}","[""gemma3-1b|100000|code:MBPP|0.25"", ""gemma3-1b|100000|math:MATH-500|0.25"", ""gemma3-1b|200000|code:MBPP|0.25"", ""gemma3-1b|200000|math:MATH-500|0.1"", ""gemma3-1b|200000|math:MATH-500|0.25"", ""gemma3-1b|50000|code:MBPP|0.1"", ""gemma3-1b|50000|code:MBPP|0.25"", ""gemma3-1b|50000|math:MATH-500|0.1"", ""gemma3-1b|50000|math:MATH-500|0.25"", ""gemma3-4b|100000|math:MATH-500|0.5"", ""gemma3-4b|200000|math:MATH-500|0.25"", ""gemma3-4b|200000|math:MATH-500|0.5"", ""gemma3-4b|50000|math:MATH-500|0.25"", ""gemma3-4b|50000|math:MATH-500|0.5""]"
boundary,math/code,fixed_reuse,"{""numerator"": 16, ""denominator"": 48, ""fraction"": 0.3333333333333333}","{""numerator"": 13, ""denominator"": 16, ""fraction"": 0.8125}","{""numerator"": 11, ""denominator"": 14, ""fraction"": 0.7857142857142857}","{""numerator"": 13, ""denominator"": 48, ""fraction"": 0.2708333333333333}","[""gemma3-1b|100000|code:MBPP|0.25"", ""gemma3-1b|100000|math:MATH-500|0.25"", ""gemma3-1b|200000|code:MBPP|0.25"", ""gemma3-1b|200000|math:MATH-500|0.1"", ""gemma3-1b|200000|math:MATH-500|0.25"", ""gemma3-1b|50000|code:MBPP|0.1"", ""gemma3-1b|50000|code:MBPP|0.25"", ""gemma3-1b|50000|math:MATH-500|0.1"", ""gemma3-1b|50000|math:MATH-500|0.25"", ""gemma3-4b|100000|math:MATH-500|0.5"", ""gemma3-4b|200000|math:MATH-500|0.25"", ""gemma3-4b|200000|math:MATH-500|0.5"", ""gemma3-4b|50000|math:MATH-500|0.25"", ""gemma3-4b|50000|math:MATH-500|0.5""]"
boundary,math/code,student_isotonic,"{""numerator"": 25, ""denominator"": 48, ""fraction"": 0.5208333333333334}","{""numerator"": 22, ""denominator"": 25, ""fraction"": 0.88}","{""numerator"": 12, ""denominator"": 14, ""fraction"": 0.8571428571428571}","{""numerator"": 22, ""denominator"": 48, ""fraction"": 0.4583333333333333}","[""gemma3-1b|100000|code:MBPP|0.25"", ""gemma3-1b|100000|math:MATH-500|0.25"", ""gemma3-1b|200000|code:MBPP|0.25"", ""gemma3-1b|200000|math:MATH-500|0.1"", ""gemma3-1b|200000|math:MATH-500|0.25"", ""gemma3-1b|50000|code:MBPP|0.1"", ""gemma3-1b|50000|code:MBPP|0.25"", ""gemma3-1b|50000|math:MATH-500|0.1"", ""gemma3-1b|50000|math:MATH-500|0.25"", ""gemma3-4b|100000|math:MATH-500|0.5"", ""gemma3-4b|200000|math:MATH-500|0.25"", ""gemma3-4b|200000|math:MATH-500|0.5"", ""gemma3-4b|50000|math:MATH-500|0.25"", ""gemma3-4b|50000|math:MATH-500|0.5""]"
boundary,2Wiki original probe,boundary_loglinear,"{""numerator"": 24, ""denominator"": 24, ""fraction"": 1.0}","{""numerator"": 18, ""denominator"": 24, ""fraction"": 0.75}","{""numerator"": 14, ""denominator"": 19, ""fraction"": 0.7368421052631579}","{""numerator"": 18, ""denominator"": 24, ""fraction"": 0.75}","[""gemma3-1b|100000|qa:2Wiki-probe|0.1"", ""gemma3-1b|100000|qa:2Wiki-probe|0.25"", ""gemma3-1b|100000|qa:2Wiki-probe|0.5"", ""gemma3-1b|200000|qa:2Wiki-probe|0.0"", ""gemma3-1b|200000|qa:2Wiki-probe|0.1"", ""gemma3-1b|200000|qa:2Wiki-probe|0.25"", ""gemma3-1b|200000|qa:2Wiki-probe|0.5"", ""gemma3-1b|50000|qa:2Wiki-probe|0.0"", ""gemma3-1b|50000|qa:2Wiki-probe|0.1"", ""gemma3-1b|50000|qa:2Wiki-probe|0.25"", ""gemma3-1b|50000|qa:2Wiki-probe|0.5"", ""gemma3-4b|200000|qa:2Wiki-probe|0.0"", ""gemma3-4b|200000|qa:2Wiki-probe|0.1"", ""gemma3-4b|200000|qa:2Wiki-probe|0.25"", ""gemma3-4b|200000|qa:2Wiki-probe|0.5"", ""gemma3-4b|50000|qa:2Wiki-probe|0.0"", ""gemma3-4b|50000|qa:2Wiki-probe|0.1"", ""gemma3-4b|50000|qa:2Wiki-probe|0.25"", ""gemma3-4b|50000|qa:2Wiki-probe|0.5""]"
boundary,2Wiki original probe,fixed_reuse,"{""numerator"": 24, ""denominator"": 24, ""fraction"": 1.0}","{""numerator"": 19, ""denominator"": 24, ""fraction"": 0.7916666666666666}","{""numerator"": 15, ""denominator"": 19, ""fraction"": 0.7894736842105263}","{""numerator"": 19, ""denominator"": 24, ""fraction"": 0.7916666666666666}","[""gemma3-1b|100000|qa:2Wiki-probe|0.1"", ""gemma3-1b|100000|qa:2Wiki-probe|0.25"", ""gemma3-1b|100000|qa:2Wiki-probe|0.5"", ""gemma3-1b|200000|qa:2Wiki-probe|0.0"", ""gemma3-1b|200000|qa:2Wiki-probe|0.1"", ""gemma3-1b|200000|qa:2Wiki-probe|0.25"", ""gemma3-1b|200000|qa:2Wiki-probe|0.5"", ""gemma3-1b|50000|qa:2Wiki-probe|0.0"", ""gemma3-1b|50000|qa:2Wiki-probe|0.1"", ""gemma3-1b|50000|qa:2Wiki-probe|0.25"", ""gemma3-1b|50000|qa:2Wiki-probe|0.5"", ""gemma3-4b|200000|qa:2Wiki-probe|0.0"", ""gemma3-4b|200000|qa:2Wiki-probe|0.1"", ""gemma3-4b|200000|qa:2Wiki-probe|0.25"", ""gemma3-4b|200000|qa:2Wiki-probe|0.5"", ""gemma3-4b|50000|qa:2Wiki-probe|0.0"", ""gemma3-4b|50000|qa:2Wiki-probe|0.1"", ""gemma3-4b|50000|qa:2Wiki-probe|0.25"", ""gemma3-4b|50000|qa:2Wiki-probe|0.5""]"
boundary,2Wiki original probe,student_isotonic,"{""numerator"": 19, ""denominator"": 24, ""fraction"": 0.7916666666666666}","{""numerator"": 16, ""denominator"": 19, ""fraction"": 0.8421052631578947}","{""numerator"": 16, ""denominator"": 19, ""fraction"": 0.8421052631578947}","{""numerator"": 16, ""denominator"": 24, ""fraction"": 0.6666666666666666}","[""gemma3-1b|100000|qa:2Wiki-probe|0.1"", ""gemma3-1b|100000|qa:2Wiki-probe|0.25"", ""gemma3-1b|100000|qa:2Wiki-probe|0.5"", ""gemma3-1b|200000|qa:2Wiki-probe|0.0"", ""gemma3-1b|200000|qa:2Wiki-probe|0.1"", ""gemma3-1b|200000|qa:2Wiki-probe|0.25"", ""gemma3-1b|200000|qa:2Wiki-probe|0.5"", ""gemma3-1b|50000|qa:2Wiki-probe|0.0"", ""gemma3-1b|50000|qa:2Wiki-probe|0.1"", ""gemma3-1b|50000|qa:2Wiki-probe|0.25"", ""gemma3-1b|50000|qa:2Wiki-probe|0.5"", ""gemma3-4b|200000|qa:2Wiki-probe|0.0"", ""gemma3-4b|200000|qa:2Wiki-probe|0.1"", ""gemma3-4b|200000|qa:2Wiki-probe|0.25"", ""gemma3-4b|200000|qa:2Wiki-probe|0.5"", ""gemma3-4b|50000|qa:2Wiki-probe|0.0"", ""gemma3-4b|50000|qa:2Wiki-probe|0.1"", ""gemma3-4b|50000|qa:2Wiki-probe|0.25"", ""gemma3-4b|50000|qa:2Wiki-probe|0.5""]"
boundary,QA including original probe,boundary_loglinear,"{""numerator"": 78, ""denominator"": 96, ""fraction"": 0.8125}","{""numerator"": 48, ""denominator"": 78, ""fraction"": 0.6153846153846154}","{""numerator"": 44, ""denominator"": 61, ""fraction"": 0.7213114754098361}","{""numerator"": 48, ""denominator"": 96, ""fraction"": 0.5}","[""gemma3-1b|100000|qa:2Wiki-fresh|0.0"", ""gemma3-1b|100000|qa:2Wiki-fresh|0.1"", ""gemma3-1b|100000|qa:2Wiki-fresh|0.25"", ""gemma3-1b|100000|qa:2Wiki-fresh|0.5"", ""gemma3-1b|100000|qa:2Wiki-probe|0.1"", ""gemma3-1b|100000|qa:2Wiki-probe|0.25"", ""gemma3-1b|100000|qa:2Wiki-probe|0.5"", ""gemma3-1b|100000|qa:MuSiQue|0.5"", ""gemma3-1b|100000|qa:TriviaQA|0.5"", ""gemma3-1b|200000|qa:2Wiki-fresh|0.0"", ""gemma3-1b|200000|qa:2Wiki-fresh|0.1"", ""gemma3-1b|200000|qa:2Wiki-fresh|0.25"", ""gemma3-1b|200000|qa:2Wiki-fresh|0.5"", ""gemma3-1b|200000|qa:2Wiki-probe|0.0"", ""gemma3-1b|200000|qa:2Wiki-probe|0.1"", ""gemma3-1b|200000|qa:2Wiki-probe|0.25"", ""gemma3-1b|200000|qa:2Wiki-probe|0.5"", ""gemma3-1b|200000|qa:MuSiQue|0.5"", ""gemma3-1b|200000|qa:TriviaQA|0.5"", ""gemma3-1b|50000|qa:2Wiki-fresh|0.0"", ""gemma3-1b|50000|qa:2Wiki-fresh|0.1"", ""gemma3-1b|50000|qa:2Wiki-fresh|0.25"", ""gemma3-1b|50000|qa:2Wiki-fresh|0.5"", ""gemma3-1b|50000|qa:2Wiki-probe|0.0"", ""gemma3-1b|50000|qa:2Wiki-probe|0.1"", ""gemma3-1b|50000|qa:2Wiki-probe|0.25"", ""gemma3-1b|50000|qa:2Wiki-probe|0.5"", ""gemma3-1b|50000|qa:MuSiQue|0.0"", ""gemma3-1b|50000|qa:MuSiQue|0.1"", ""gemma3-1b|50000|qa:MuSiQue|0.25"", ""gemma3-1b|50000|qa:MuSiQue|0.5"", ""gemma3-1b|50000|qa:TriviaQA|0.25"", ""gemma3-1b|50000|qa:TriviaQA|0.5"", ""gemma3-4b|100000|qa:2Wiki-fresh|0.0"", ""gemma3-4b|100000|qa:2Wiki-fresh|0.1"", ""gemma3-4b|100000|qa:2Wiki-fresh|0.25"", ""gemma3-4b|100000|qa:2Wiki-fresh|0.5"", ""gemma3-4b|100000|qa:MuSiQue|0.25"", ""gemma3-4b|100000|qa:MuSiQue|0.5"", ""gemma3-4b|200000|qa:2Wiki-fresh|0.0"", ""gemma3-4b|200000|qa:2Wiki-fresh|0.1"", ""gemma3-4b|200000|qa:2Wiki-fresh|0.25"", ""gemma3-4b|200000|qa:2Wiki-fresh|0.5"", ""gemma3-4b|200000|qa:2Wiki-probe|0.0"", ""gemma3-4b|200000|qa:2Wiki-probe|0.1"", ""gemma3-4b|200000|qa:2Wiki-probe|0.25"", ""gemma3-4b|200000|qa:2Wiki-probe|0.5"", ""gemma3-4b|200000|qa:MuSiQue|0.5"", ""gemma3-4b|200000|qa:TriviaQA|0.5"", ""gemma3-4b|50000|qa:2Wiki-fresh|0.0"", ""gemma3-4b|50000|qa:2Wiki-fresh|0.1"", ""gemma3-4b|50000|qa:2Wiki-fresh|0.25"", ""gemma3-4b|50000|qa:2Wiki-fresh|0.5"", ""gemma3-4b|50000|qa:2Wiki-probe|0.0"", ""gemma3-4b|50000|qa:2Wiki-probe|0.1"", ""gemma3-4b|50000|qa:2Wiki-probe|0.25"", ""gemma3-4b|50000|qa:2Wiki-probe|0.5"", ""gemma3-4b|50000|qa:MuSiQue|0.0"", ""gemma3-4b|50000|qa:MuSiQue|0.1"", ""gemma3-4b|50000|qa:MuSiQue|0.25"", ""gemma3-4b|50000|qa:MuSiQue|0.5""]"
